"","Participant.id","education","Age","Sex","Ethnicity.simplified","Student.status","Employment.status","treatment","response"
"409","5fbead0dc32181085395e4b3","low",24,"Male","White","No","Unemployed (and job seeking)",TRUE,10
"410","5fc2ab07be970b4cde3ba33d","medium",55,"Male","White","No","Full-Time",TRUE,-6
"411","5fc6d0e5563ad810513c9c7a","medium",20,"Female","White","Yes","Part-Time",TRUE,2
"412","5fc6d0e5563ad810513c9c7a","medium",20,"Female","White","Yes","Part-Time",FALSE,2
"413","5fc70104446bb4123cfc7328","medium",33,"Female","Asian","No","Full-Time",TRUE,-7
"414","5fcaa3f3d991a9748f8b9e1c","low",48,"Female","Black","Yes","Full-Time",FALSE,10
"415","5fcdbe153ce79b287e15344e","medium",27,"Female","Asian","No","Full-Time",TRUE,0
"416","5fd02fea84bdb809404020a2","low",27,"Female","White","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-6
"417","5fd9ad6dab00c64c8a45c9fc","medium",58,"Female","White","No","Full-Time",TRUE,-4
"418","5fe1bda08bcb1fc65fe89d91","low",26,"Female","White","No","Other",FALSE,-2
"419","5febed303ce806d4d1b352db","low",21,"Male","White","No","Full-Time",FALSE,-8
"420","5feccdbdc92395ec2cc2a4a0","high",27,"Male","White","No","Full-Time",TRUE,7
"421","5fed41e3e14422f5e308c6e5","high",44,"Male","White","No","Full-Time",FALSE,-9
"422","5ff02540e44df43b05c7ef9e","low",22,"Female","Mixed","No","Due to start a new job within the next month",TRUE,-4
"423","5ff34b3430cadf0e068cad6e","medium",31,"Female","Mixed","No","Part-Time",FALSE,-5
"424","5ff5f6c52171e10f72d3610c","high",32,"Female","White","No","Full-Time",TRUE,4
"425","5ffb6a7ad424e65d160a44ea","high",31,"Female","Asian","Yes","Other",TRUE,-2
"426","6007776684975127676717c4","medium",29,"Male","Mixed","No","Part-Time",FALSE,-2
"427","600dab8134acba5b50136b19","low",29,"Female","White","No","Full-Time",FALSE,-6
"428","601051fc5b20e2334bdbe0be","medium",33,"Female","White","No","Full-Time",FALSE,-8
"429","6010b744db280e455a5250bd","high",56,"Female","White","No","Full-Time",TRUE,-3
"430","6010bba4cef0db4298d8cd48","low",34,"Female","Other","DATA_EXPIRED","Full-Time",FALSE,-4
"431","601387b4aa37e127b0544497","low",38,"Female","Black","Yes","Other",TRUE,4
"432","60144cac1e8f203e861fc5f6","high",30,"Male","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,-8
"433","601581439865f1060313be50","medium",46,"Male","White","Yes","Part-Time",FALSE,-8
"434","601606098a88c4772f7db43c","medium",21,"Female","White","Yes","Part-Time",FALSE,-6
"435","6016c24ec5b6eb86fb473dc4","medium",28,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,-7
"436","6016c24ec5b6eb86fb473dc4","medium",28,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,-7
"437","601750d7a0361e9a5e4fdc56","high",44,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,2
"438","6018aeeb0fa3e419a12c1423","medium",36,"Female","Black","DATA_EXPIRED","DATA_EXPIRED",FALSE,-10
"439","601991eca575400d9ad37546","medium",29,"Male","White","DATA_EXPIRED","DATA_EXPIRED",TRUE,4
"440","601c170bd8db9368fc2d996b","medium",40,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,2
"441","601e1253bbecc3279e4fb472","high",39,"Male","White","No","Full-Time",TRUE,-6
"442","602348484d326a1c5aa80bb7","medium",38,"Female","White","DATA_EXPIRED","DATA_EXPIRED",FALSE,-2
"443","60255cc2f0319509011ac0a8","low",42,"Female","White","No","Part-Time",TRUE,-4
"444","6027cd5a33fc135e0eab4061","low",37,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,4
"445","602aaba2c2eb7c106100e516","medium",31,"Male","White","No","Full-Time",FALSE,7
"446","602f8f486ef6bdc8803f83e2","low",31,"Female","Mixed","No","Full-Time",FALSE,-6
"447","603862f99e00971c55fe0874","low",32,"Male","Black","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-2
"448","603ae163f21b736f470992bd","low",19,"Female","White","Yes","Part-Time",FALSE,5
"449","603c69904835ea83ab3a7eb9","medium",20,"Female","White","Yes","Other",TRUE,-5
"450","603d6ae665fbaacb5621ede2","high",25,"Male","Black","No","Full-Time",TRUE,0
"451","603e97018512c2f752512f0b","high",44,"Male","White","No","Full-Time",FALSE,5
"452","603fa7d057d382087d66d1c2","low",32,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-5
"453","604b9e6373c491acd8aec923","medium",43,"Male","White","No","Full-Time",FALSE,6
"454","604d0a009bed2ea8c5098434","medium",31,"Male","Asian","No","Part-Time",TRUE,-6
"455","604fe822b095421e07e3f93e","high",30,"Male","White","No","Full-Time",TRUE,-4
"456","6051536b3e81428095504b35","high",63,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,10
"457","605d0d00436a36ad0d8d6fa5","medium",55,"Male","White","No","Full-Time",TRUE,-4
"458","60632b562ed6028c6bb905a6","high",64,"Male","White","DATA_EXPIRED","Part-Time",FALSE,0
"459","6068bf5914131f3a1a80a413","high",67,"Male","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",FALSE,-6
"460","606ca69aaab08c005f42092c","low",35,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,2
"461","606e3ddf19540080228e3a0c","high",31,"Female","White","No","Full-Time",FALSE,-5
"462","60709c0cc17168fdce1c7774","low",28,"Female","White","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-7
"463","60712d937752fb8780e89951","high",34,"Male","White","No","Full-Time",TRUE,10
"464","60721a45b75cb8f4b00abd05","high",33,"Male","White","No","DATA_EXPIRED",FALSE,-10
"465","6073640883b8547a9b73569a","high",44,"Male","White","No","Part-Time",TRUE,2
"466","60789e0374c40003064855c1","high",45,"Female","White","No","Full-Time",TRUE,1
"467","607b44ce4cdb3c192237685d","medium",22,"Male","Asian","No","Unemployed (and job seeking)",TRUE,-9
"468","607cb8d1644bc7d3d41dfbc6","high",39,"Female","White","No","Full-Time",TRUE,-4
"469","607ce9df61f8f44b9403edfc","medium",34,"Female","Asian","No","DATA_EXPIRED",TRUE,8
"470","607d032ff575a93bdc070711","high",46,"Male","White","No","Full-Time",TRUE,1
"471","6081701e5a3654a0900703fe","high",37,"Female","White","No","Part-Time",TRUE,-2
"472","608470c74942e7ffbe527dfc","low",64,"Female","White","DATA_EXPIRED","Part-Time",TRUE,-6
"473","608b545dac4ff506d7f01f04","low",26,"Female","White","No","Unemployed (and job seeking)",FALSE,0
"474","608f2bae0ee0a74455533e4c","medium",58,"Female","Asian","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-1
"475","609122350e5b8e743ab41f79","medium",40,"Female","White","No","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,-10
"476","60919c8f1b024991374cfb2d","medium",24,"Female","White","No","Part-Time",FALSE,-9
"477","6095c58f673ef9aa5dafd4e2","low",26,"Female","Black","Yes","Not in paid work (e.g. homemaker', 'retired or disabled)",TRUE,7
"478","609bf492ae7a337617aa386d","high",47,"Female","Mixed","No","Full-Time",TRUE,10
